track_name,artist(s)_name,in_spotify_playlists,in_spotify_charts,streams,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,cover_url,release_date
"Stay With Me (with Justin Timberlake, Halsey, & Pharrell)","Calvin Harris, Halsey, Pharrell Williams, Justin Timberlake",3113,0,123473120,126,A,Major,81,90,73,28,0,29,4,https://i.scdn.co/image/ab67616d0000b2739b93a80dbfd3d789065d7b67,2022-07-15
Siempre Pendientes,"Peso Pluma, Luis R Conriquez",685,5,295152154,136,Unknown,Major,77,71,75,33,1,13,4,https://i.scdn.co/image/ab67616d0000b273093a2563368d844b2a91306f,2022-08-15
JGL,"Luis R Conriquez, La Adictiva",782,9,323455692,113,G#,Major,70,97,59,55,0,27,12,Not Found,2022-02-18
Don't You Worry,"David Guetta, Shakira, Black Eyed Peas",2442,0,240918092,132,B,Major,82,49,88,20,0,21,3,Not Found,2022-06-16
Pipoco,"Melody, Ana Castela, Dj Chris No Beat",1112,4,191873381,135,G#,Major,77,74,74,47,0,34,8,Not Found,2022-05-20
Hold Me Closer,"Elton John, Britney Spears",4967,0,284216603,126,Unknown,Major,67,49,77,11,0,19,11,https://i.scdn.co/image/ab67616d0000b2735d872e7b0c1ba964541f07e8,2017-11-10
Forget Me,Lewis Capaldi,2520,4,239411309,102,C#,Minor,67,72,74,30,0,36,4,https://i.scdn.co/image/ab67616d0000b2737cdf9838412bb52df6e9a952,2022-09-09
After LIKE,IVE,767,12,265548837,125,Unknown,Major,68,80,92,10,0,9,12,https://i.scdn.co/image/ab67616d0000b27387f53da5fb4ab1171766b2d5,2022-08-22
Bound 2,Kanye West,19806,7,703301727,149,C#,Major,37,28,66,14,0,9,5,https://i.scdn.co/image/ab67616d0000b2731dacfbc31cc873d132958af9,2013-01-01
B.O.T.A. (Baddest Of Them All) - Edit,"Interplanetary Criminal, Eliza Rose",5153,6,244585109,137,Unknown,Major,74,71,89,24,61,15,5,Not Found,2022-06-15
Talk that Talk,TWICE,615,0,189476119,120,D#,Minor,77,78,91,14,0,33,12,https://i.scdn.co/image/ab67616d0000b273c3040848e6ef0e132c5c8340,2022-08-26
BILLIE EILISH.,Armani White,2537,0,277132266,100,C#,Major,90,75,50,11,0,9,26,https://i.scdn.co/image/ab67616d0000b2734f8799f23432ad98d522f0ec,2022-01-20
Ferxxo 100,Feid,1647,30,278920007,164,G#,Minor,70,58,57,25,0,15,7,https://i.scdn.co/image/ab67616d0000b273b764865b38a71f70dfd0dbcb,2022-06-03
KU LO SA - A COLORS SHOW,Oxlade,2019,8,222410722,93,A#,Minor,65,79,66,31,0,22,7,https://i.scdn.co/image/ab67616d0000b273948cc9446ba50ec454e6804f,2022-06-10
Prohibidox,Feid,1473,12,185392587,180,C#,Minor,65,52,80,5,0,6,25,https://i.scdn.co/image/ab67616d0000b273b764865b38a71f70dfd0dbcb,2022-09-13
Static,Steve Lacy,1613,0,202452860,79,C#,Major,34,22,31,43,63,10,7,https://i.scdn.co/image/ab67616d0000b27368968350c2550e36d96344ee,2022-07-15
The Scientist,Coldplay,30992,6,1608164312,146,F,Major,56,21,44,73,0,11,2,https://i.scdn.co/image/ab67616d0000b273de09e02aa7febf30b7c02d82,2002-08-05
Sparks,Coldplay,10826,4,624101957,103,C#,Major,37,17,27,75,5,10,3,https://i.scdn.co/image/ab67616d0000b2733d92b2ad5af9fbc8637425f0,2000-07-10
Talk,YEAT,920,0,148461629,140,E,Minor,70,26,76,8,0,54,23,https://i.scdn.co/image/ab67616d0000b2737aee5b36a3a60ca926bc429b,2022-09-02
XQ Te Pones Asï¿,"Yandel, Feid",308,0,47093942,92,A#,Major,81,48,70,13,0,15,7,Not Found,2022-09-13
Selfish,PnB Rock,2468,0,380319238,102,C#,Minor,64,4,60,11,0,19,4,https://i.scdn.co/image/ab67616d0000b273e9fb616403542596d3ede300,2016-06-23
Sin Seï¿½ï,"Ovy On The Drums, Quevedo",1097,2,209106362,118,B,Minor,82,75,85,33,1,11,4,Not Found,2022-07-22
Lady Mi Amor,Feid,330,0,53987404,93,D,Major,78,75,62,6,0,15,6,https://i.scdn.co/image/ab67616d0000b27373456ed697350847810e52b3,2022-09-13
Poland,Lil Yachty,1584,0,115331792,150,F,Minor,70,26,56,14,83,11,5,https://i.scdn.co/image/ab67616d0000b273615d6910181bc514d4c4b011,2022-06-23
THE LONELIEST,Mï¿½ï¿½ne,1585,5,225093344,130,D,Major,52,24,60,0,0,8,3,Not Found,2022-10-07
Bye Bye,"Marshmello, Juice WRLD",766,0,84697729,83,D#,Minor,65,24,53,6,0,51,4,https://i.scdn.co/image/ab67616d0000b2734204e8bad640cf32eca876a5,2022-10-14
BABY OTAKU,"Fran C, Polima WestCoast, Nickoog Clk, Pablito Pesadilla",836,0,159240673,102,A,Major,84,43,75,5,0,6,8,Not Found,2022-08-18
Nxde,(G)I-DLE,430,6,170709584,136,E,Minor,73,65,91,4,0,48,18,https://i.scdn.co/image/ab67616d0000b273ac815bdd584468a7aa0216e1,2022-10-17
Miss You,Southstar,2020,0,154356956,145,A,Major,66,24,58,17,0,19,5,https://i.scdn.co/image/ab67616d0000b2731b5f2557a7fe884d0e3d8b2a,1982-05-16
we fell in love in october,girl in red,6858,0,723043854,130,G,Major,57,24,37,11,18,16,3,https://i.scdn.co/image/ab67616d0000b273d6839051c4760457e1a60b2a,2018-11-21
2 Be Loved (Am I Ready),Lizzo,3682,6,247689123,156,G,Major,72,92,77,9,0,8,11,https://i.scdn.co/image/ab67616d0000b273caa75a1b27530c05d8b76675,2022-07-14
Celestial,Ed Sheeran,1639,0,176474912,123,D,Major,57,50,85,5,0,16,4,https://i.scdn.co/image/ab67616d0000b27300bc0dcf5dd155f73eff5267,2022-09-29
Typa Girl,BLACKPINK,452,10,235549288,132,G,Major,92,53,62,7,0,63,10,https://i.scdn.co/image/ab67616d0000b2734aeaaeeb0755f1d8a8b51738,2022-09-16
I Really Want to Stay at Your House,"Rosa Walton, Hallie Coggins",668,1,140430339,125,D#,Minor,49,13,74,0,0,9,4,https://i.scdn.co/image/ab67616d0000b273a91a5b301baac1f46e6f30eb,2020-12-18
California Breeze,Lil Baby,991,0,85559365,162,F,Minor,74,22,67,0,0,11,46,https://i.scdn.co/image/ab67616d0000b27366b04b41fa6f8908dce86695,2022-10-14
Bamba (feat. Aitch & BIA),"Luciano, Aitch, Bï¿½",869,7,146223492,138,A#,Major,80,82,81,14,0,13,36,https://i.scdn.co/image/ab67616d0000b27348064ef6df8fad8a52219c32,2022-09-22
Casei Com a Putaria,"MC Ryan SP, Love Funk, Mc Paiva ZS",648,4,187701588,161,A#,Minor,59,62,60,12,0,5,44,Not Found,2022-07-01
Major Distribution,"Drake, 21 Savage",1545,0,154863153,131,G#,Minor,91,23,55,1,0,7,32,https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad,2022-11-04
Pussy & Millions (feat. Travis Scott),"Drake, Travis Scott, 21 Savage",1930,0,191333656,122,E,Minor,75,45,63,6,0,35,12,https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad,2022-11-04
Vigilante Shit,Taylor Swift,1948,0,253650850,80,E,Minor,80,16,28,17,0,12,39,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,2022-10-21
Question...?,Taylor Swift,1608,0,223064273,109,G,Major,75,11,50,20,0,30,17,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,2022-10-21
On BS,"Drake, 21 Savage",1338,0,170413877,158,A,Major,84,33,36,2,0,39,59,https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad,2022-11-04
Mastermind,Taylor Swift,1936,0,218320587,126,E,Major,66,12,35,55,0,9,14,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,2022-10-21
Circo Loco,"Drake, 21 Savage",1794,0,141720999,104,C#,Major,73,25,61,1,0,32,7,https://i.scdn.co/image/ab67616d0000b27302854a7060fccc1a66a4b5ad,2022-11-04
